question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,predicted_answer,gpt4_answer
27.	The lateral spread of dental caries is facilitated mostly  by the,,2,Enamel spindles,Dentinoenamel junction,Enamel lamellae,Striae of Retzius,Pathology,,384a9281-2ee1-480b-a7d8-fd3ef49558e5,single,Dentinoenamel junction,Nan,enamel rods orientation.
A second-year PG resident tells you to perform an ABG of a patient. All of the following are true about performing an ABG except:,"Ans: A. Before performing the ABG, syringe should be loaded with 0.3 cc of heparin(Ref: Harrison 18/e p364; http:// emedicine.medscape.comlaiclell 902703-overview).Care should be taken when measuring blood gases to obtain the aerial blood sample without using excessive heparin.Heparin should be expelled from the syringe after loading as it may lead to false pCO2 readings.Precautions:Most syringes come pre-packaged & contain a small amount of heparin, to prevent coagulation.Other syringes may need to be heparinized, by drawing up a small amount of liquid heparin & squiing it out again to remove air bubbles.Once the sample is obtained, care is taken to eliminate visible gas bubbles, as these bubbles can dissolve into the sample & cause inaccurate results.",1,"Before performing the ABG, syringe should be loaded with 0.3 cc of heparin","Normal pH, HCO. and PCO, levels may not indicate absence of an acid-base imbalance",A different site should be tried i f modified Allen's test is negative,Radial aery is the preferred site,Medicine,,ae860b65-53a5-4547-b627-494174e15c3c,multi,"Before performing the ABG, syringe should be loaded with 0.3 cc of heparin","Before performing the ABG, syringe should be loaded with 0.3 cc of heparin",Not all patients require local anesthesia.
Respiratory rhythm generation center is located at:,"Ans: B. Pre-Botzinger complexRef: Ganong 25Ie p656, 24Ie p658)Rhythmic respiration is initiated by a small group of synaptically coupled pacemaker cells in the pre-Botzinger complex (pre-BOTC) on either side of the medulla between the nucleus ambiguus and the lateral reticular nucleus.The main components of the respiratory control pattern generator responsible for automatic respiration are located in the medulla. Rhythmic respiration is initiated by a small group of synaptically coupled pacemaker cells in the pre-Botzinger complex (pre-BOTC) on either side of the medulla between the nucleus ambiguus and the lateral reticular nucleus.",2,Dorsal respiratory group,Pre-Botzinger complex,Ventral respiratory neurons,Pneumotaxic center,Physiology,,84d89a4f-db04-402d-88ab-ca39f6eee8bd,single,Pre-Botzinger complex,Pre-Botzinger complex,Medulla oblongata
Gait apraxia is seen in thromboembolic episode involving:,"Ans. a. ACA (Ref: Harrison 19/e p163, 18/e p193)Gait apraxia is seen in thromboembolic episode involving anterior cerebral aery.Frontal lobe is mainly supplied by anterior cerebral aery; its occlusion leads to gait apraxia",1,ACA,MCA,PCA,Posterior choroidal aery,Medicine,,b1cc4ab0-a82c-437a-88c2-00953f3618ff,single,ACA,ACA,Anterior cerebral artery
Heavy forces on periodontal ligament causes:,,1,Hyalinization,Osteoclastic activity around tooth,Osteoblastic activity around tooth,Crest bone resorption,Dental,,f184a533-98b4-43ad-b1f5-70edc6704d9e,single,Hyalinization,Nan,Resorption
"About N. gonorrhoea, all are true except",,2,Most common cause of urethritis in male,All stains are highly susceptible to penicillin,Wide spread axoregnic stains cause disseminated gonococcal infection,Found exclusively in human beings,Microbiology,,26160738-1887-4252-86d4-1719a5a80bd3,multi,All stains are highly susceptible to penicillin,The organism is not sensitive to penicillin,It is not a virus.
"A patient who was on ventilator and being ventilated for past few days, suddenly pulls out the endotracheal tube. What is the next step of management?","Ans. a. Assess the patient, give bag and mask ventilation and look for spontaneous breathingIn self-extubation, assess the patient, give bag and mask ventilation and look for spontaneous breathing.Unplanned ExtubationUnplanned extubation of mechanically ventilated patients is relatively commonSelf-extubation refers to the patient's action, who deliberately removes the endotracheal tube (MC type of unplanned extubation, typically occur at night)Accidental extubation is attributed either to personnel's inappropriate manipulation of the tube during patient care or to a non-purposeful patient's action, e.g. coughing (mostly occur in the morning) Risk Factors for Unplanned ExtubationPatient factorsStaff factorsMaleDeliriumLight sedationDifficulty in securing tube (e g. facial swelling, facial burns)Previous unplanned extubationJunior staffNurse-to-patient ratioInadequately secured endotracheal tubeand/or checks",1,"Assess the patient, give bag and mask ventilation and look for spontaneous breathing",Sta bag and mask ventilation and reintubate,Sedate and reintubate,Make him sit and do physiotherapy,Anaesthesia,,6ccd8adb-af24-4e58-82a1-9219dfa37057,multi,"Assess the patient, give bag and mask ventilation and look for spontaneous breathing","Assess the patient, give bag and mask ventilation and look for spontaneous breathing",Re-intubate if necessary.
"In a	6-month-old child, thick curd like white	patch
appears on the buccal mucosa. On rubbing it leaves an
erythematous patch. Most likely diagnosis is:",,4,Tuberculosis,Lichen planus,Lupus erythematous,Candidiasis,Dental,,e38402c3-69bf-40a8-90c4-09277ca352eb,single,Candidiasis,Nan,Oral thrush
Characteristic of venous blood flow of lower limb in duplex Doppler is?,* Doppler is based on frequency shift and color coding depends on the direction of blood flow* Direction of blood flow:- Flow towards the probe- Red- Flow away from probe- Blue Intensity of color depends on velocity of flow Doppler effect: change in frequency because of relative motion between moving source of sound and observer. Direction of flow Color doppler showing CCA bifurcation Spectral doppler: Cursor is placed into the area of blood vessel we want to trace and its velocity is measured.An angle has to be maintained to obtain a proper image- Ideal angle = 0o (practically not possible)- Optimal angle = 45o-60o (never 90o) Spectral doppler of aeries Low resistance High resistance Example:* Brain aeries* ICA* CCA* VA- Renal aeries| Monophasic with pattern pulsatility Example: - Extremity aeries* ECA | Triphasic pattern Normal Peripheral Aerial Waveform Triphasic waveform Initial high velocity forward flow component Early diastolic reverse flow component Late diastolic forward flow component Narrow systolic window * Venous doppler:- It is Monophasic- during free breathing variations in amplitude due to cardiac and respiratory phasicity- In breath hold- pressure changes of . Atrium are reflected back in the major veins,1,Monophasic,Biphasic,Triphasic,Non phasic,Radiology,AIIMS 2018,9078aaca-bbfd-41cd-ad69-03057fca84ba,single,Monophasic,Monophasic,Phasic with respiration.
"The source of calcium ions of a calcific bridge in a
tooth in which calcium hydroxide pulpotomy has been
performed is:",,1,Blood vessel borne,Derided cells,Dentin,From the calcium hydroxide,Dental,,ac6be140-880b-40c6-9855-01f30c8dd7b2,single,Blood vessel borne,The pulp chamber,Dentin.
"2, 3-BPG binds to sites of haemoglobin and the affinity for oxygen","Answer- B. 1, decreases2,3-BPG binds to 1 site of haemoglobin and decreases the affinity for oxygen.2, 3 Bisphosphoglycerate (2,3- BPG) or 2,3 Diphosphoglycerate 2,3- DPG)It is most abundant organic phosphate in RBC.",2,"4, decreases","1, decreases","4, increases","1, increases",Biochemistry,,7111d7b2-7e80-4e23-b5d0-9f42595c6a80,single,"1, decreases",Increases,Decreases
Highest concentration of oxygen is delivered through?,Bag and mask-100% O2 Venturi mask- 60% O2 Nasal cannula - 40% O2 Mask with reservoir- 80-90% O2,3,Nasal cannula,Venturi mask,Bag and mask,Mask with reservoir,Anaesthesia,AIIMS 2017,406b5b4f-9ad4-42c0-9669-12d038df4ac8,single,Bag and mask,Mask with reservoir,Non-rebreather mask
Sharpest cusp is seen in,,1,Upper Canine,Lower Canine,Upper Premolar,Lower premolar,Dental,,8d2e7fe2-3354-44c2-8cdf-55ff23caaebb,single,Upper Canine,Nan,Mandibular first premolar
A mother is Hbs Ag positive and anti Hbe Ag positive. Risk of transmission of Hep. B in child is:,"Before answering these questions lets first discuss hepatitis in brief.
Maternal infection: The acute infection is manifested by flu like illness as malaise, anorexia, nausea and vomiting. In majority, it remains asymptomatic. Jaundice is rare and fever is uncommon.
Clinical course (HBV): Nearly 90–95% of patients clear the infection and have full recovery. 1% develop fulminant hepatitis resulting massive hepatic necrosis. 10-15% become chronic and 10% of these chronic cases suffer from chronic active hepatitis, cirrhosis and hepatocellular carcinoma.
Diagnosis is confirmed by serological detection of HBsAg, HBeAg (denote high infectivity) and antibody to hepatitis B core antigen (HBcAg) and HBV DNA titer (107–1011).
Screening: All pregnant women should be screened for HBV infection at first antenatal visit and it should be repeated during the third trimester for ‘high risk’ groups (intravenous drug abusers, sexual promiscuity, hemophilics, patients on hemodialysis or having multiple sex partners).
Hepatitis C (HCV):
It is recognized as the major cause of non-A, non-B hepatitis worldwide and is the leading cause of transfusion associated hepatitis. Transmission is mainly blood borne and to a lesser extent by faecal-oral route. It is responsible for chronic active hepatitis and hepatic failure.
Perinatal transmission (10–40%) is high when coinfected with HIV and HBV.
Detection is by antibody to HCV by EIA, which develops usually late in the infection.
Confirmation is done by recombinant immunoblot assay (RIBA-3).
Chronic carrier state is present. Breastfeeding is not contraindicated.
Hepatitis D (HDV):
It is seen in patients infected with HBV either as a co-infection or super infection. Perinatal transmission is known.
Hepatitis E (HEV): Hepatitis E is the most important cause of non-A, non-B hepatitis in developing countries like India. Chronic carrier state is present. Perinatal transmission is uncommon.
Maternal mortality is very high (15–20%).",1,20%,50%,0%,90%,Gynaecology & Obstetrics,,7f0270fd-7d45-43ec-b77e-0038115bb845,single,20%,90%,90%
"In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as",,4,Average,High,Incomplete,Low,Dental,,8b9a0e04-4281-418a-aa94-7414a325732f,single,Low,Nan,High.
"A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person?","Low esterase levels are suggestive of overdose of some drug which acts by inhibiting acetyl choline esterase like organophosphate poisoning. Inhibition of choline esterase results In increased amount of Ach at synapse, so poisoning or overdose results in cholinergic symptoms like salivation, lacrimation, urination, emesis, increased bronchial secretions, reduction in blood pressure.So treatment Of choice is Atropine. Atropine -It is highly effective in counter-acting the muscarinic symptoms, but higher doses are required to antagonize the central effects. It does not reverse peripheral muscular paralysis which is a nicotinic action. All cases of anti-ChE (carbamate or organophosphate) poisoning must be promptly given atropine2 mg i.v. repeated every 10 min till dryness of mouth or other signs of atropinization appear (upto 200 mg has been administered in a day). Continued treatment with maintenance doses may be required for 1-2 weeks. Neostigmine and physostigmine worsens the signs and symptoms as these also act by inhibiting choline esterase. Physostigmine and flumazenil are respectively used for Atropine and benzodiazepines poisoning.",2,Neostigmine,Atropine,Flumazenil,Physostigmine,Pharmacology,AIIMS 2019,a3da135a-a6a2-4e1c-8823-8ab0913f5668,single,Atropine,Atropine,Atropine and pralidoxime.
The current bar clasp design used is:,,1,Mesio-occlusal rest,Disto-occlusal rest,Mesial or distal depending on the situation,Choice of the dentist,Dental,,7751b7ed-6aa4-4b9a-a03c-bb991a2936db,single,Mesio-occlusal rest,Nan,"RPI system (Rest, Proximal plate, I-bar)."
All of the following are true regarding Class-II inlay gingival margins preparation except?,,4,Removal of week enamel rods,Increased metal burnishability,Lap sliding fit of metal margin,Margins of restoration in self-cleansable area,Dental,,159339f1-1545-47f6-9aad-47c1282458b4,multi,Margins of restoration in self-cleansable area,All of the above,Not always located on the cementoenamel junction (CEJ).
Breakdown of periodontal fibres in periodontitis is due to bacterial enzyme: (OR) Which of the following bacterial products have been implicated in initiation of inflammatory periodontal disease?,,1,Collagenase,Hyaluronidase,Coagulase,None of the above,Dental,,b6149b01-79a9-4d07-8cbc-828452b3906e,multi,Collagenase,Nan,Collagenase.
"In a study, two groups of newborns are checked for their weights based on whether their mothers received food supplements or not. The appropriate test which can be used for comparing the data is:","Ans: C. Student's T-test(Ref Park 22/e p795; Biostatistics by Mahajan 7/e p134)Here, comparing a parametric quantitative variable (weight) in two unrelated group of people.Hence, ""Student's t-test"" used.Student t-test:Used when outcome variable is normally distributed in population (for quantitative data).Ex: BP, blood glucose.",3,Chi square test,Paired T-test,Student's T-test,Fischer exact test,Social & Preventive Medicine,,f0f91922-12fd-4213-871c-19e47532a6d6,single,Student's T-test,Student's T-test,t-test
Which vitamin is required for glycogen Phosphorylase?,"Glycogen phosphorylase is the rate limiting enzyme of glycogenolysis. And it requires PLP. The active form of vitamin B6 is the coenzyme pyridoxal phosphate (PLP) PLP can be synthesized from the three compounds pyridoxine, pyridoxal and pyridoxamine. This PLP for this enzyme Glycogen phosphorylase is not required as co-enzyme, but it act as a phosphate donor. Enzyme glycogen phosphorylase will cut glycogen a (1-4) bond apa and the glucose released are transferred in Glucose-1-phosphate and that phosphate is taken from PLP.",1,PLP,TPP,Riboflavin,Lipoic acid,Biochemistry,AIIMS 2017,3624dceb-9318-4aa7-add1-b4c2fbac3065,single,PLP,Vitamin B6,Vitamin B6
"A child's behaviour is traced to have dental difficulties
from	his	mother.	The	most	satisfactory	method	of
handling the situation is to:",,2,Introduce another child as a good example,Modify his fear by familiarization,Use small amounts of barbiturates,Use firmness,Dental,,7b81cd07-3765-4f50-8b28-a88576f4223e,multi,Modify his fear by familiarization,Refer the child to a dentist,Consult a dentist.
Which of the following is the only complete cailage ring in the respiratory tree?,Answer- A (Cricoid cailage)(Ref: BDC 5/e Vol lII/p238)Complete cailage ring is seen in Cricoid cailage.Cricoid cailage is shaped like a ring. It encircles the larynx below the thyroid cailage. It is thicker and stronger than the thyroid cailage.,1,Cricoid cailage,Thyroid cailage,Cunieform cailage,Epiglottis,Anatomy,,e845e625-845e-4d02-ab3f-e00f2284d62e,single,Cricoid cailage,Cricoid cailage,Cricoid cartilage
Steps of intubation - arrange in sequence:- a. Head extension and flexion of neck b. Introduction of laryngoscope c. Inflation of cuff d. Check breath sounds with stethoscope e. fixation of the tube to prevent dislodgement,"For intubation: 1st step: Morning sniffing position: extension of atlanto-occipital joint and flexion of neck. 2nd step: Introduction of laryngoscope 3rd step: Push the tongue away, visualize the epiglottis, aryepiglottic fold, hinge the tip of laryngoscope with aryepiglottic fold and lift the laryngoscope to visualize the glottic opening. 4th step: Introduce ETT and inflate the cuff 5th check for bilateral breath sound FIXATION of the ETT.",1,ABCDE,DBCEA,ACBED,CBAED,Anaesthesia,AIIMS 2019,fb79561d-8beb-4a31-aaa5-9350e20b0caa,multi,ABCDE,abcde,"a, b, c, e, d"
In Erythroblastosis fetalis not involved is –,"Erythroblastosis fetalis is caused by the transplacental passage of maternal antibody active against paternal RBC antigens of the infant and is characterized by an increased rate of RBC destruction.
Although more than 60 different RBC antigens are capable of eliciting an antibody response, significant disease is associated primarily D antigen of Rh group and with A 0 incompatibility.
Other rare antigens involved are -


C or E antigen of Rh group
RBC antigens - Cw, Cx, Cu, K (kell), M, Duffy, S, P, MNS, Xg, Lutheran, Diego and Kidd.


Anti-Lewis antibodies do not cause disease.",4,Anti C,Anti D,Anti E,Anti Lewis,Pediatrics,,67add9f9-94b5-40b2-904d-fb4965fb8309,single,Anti Lewis,Anti-Lewis antibodies,ABO blood group system
"A dentist suffered from Hepatitis B infection 3 months back. His laboratory tests are normal, but he is not allowed by the medical board to do surgical practice. He is:","Convalescent carrier is the host who continues to harbor the microorganism even after recovering from the clinical disease caused by the same pathogen.
Key Points 
HBsAg:

The antigen appears in blood during incubation period and is detectable in most patients during the prodrome and acute phase of the disease.
Persistent presence of HBsAg in blood for at least 6 months indicates the carrier state and also indicates the risk of chronic hepatitis and hepatic carcinoma. It is not detectable in the serum during convalescent stage. The presence of HBsAg alone does not necessarily indicate the replication of complete virion, and the patients may not have symptoms of liver damage. 

Parija SC. Textbook of Microbiology & Immunology. Elsevier Health Sciences; 2014. Page:74,553",3,Inactive carrier,Healthy carrier,Convalescent carrier,Paradoxical carrier,Microbiology,,6bfe528d-3481-47e2-bc3d-d38c56b5f0cc,multi,Convalescent carrier,Convalescent carrier,Infectious
A pediatrician in a district hospital with specialization neonatal care unit calls an ophthalmologist for consultation for which of the following?,Answer- B. A baby born at 28 weeks of gestationPremature baby needs to be screenedfor Retinopathy of prematurity.All babies weighing <1500 gm or having a gestational period <32 weeks should be screened with indirect ophthalmoscopybetween 32-36 weeks postconception.,2,A newborn with respiratory distress,A baby born at 28 weeks of gestation,Newborn with jaundice,A newborn with bih weight 2300 grams,Pediatrics,,26a782ca-42b0-441b-a24f-3a368f66727c,multi,A baby born at 28 weeks of gestation,A baby born at 28 weeks of gestation,Retinopathy of prematurity (ROP)
"In a child with active liver failure, the most important prognosis factor for death is –","Prognosis of hepatic failure in children 

Children with hepatic failure have somewhat better prognosis.
The prognosis varies considerably with -

i) Cause of liver failure
ii) Stage of hepatic encephalopathy

Poor prognostic factors for mortality


If cause of liver failure is         —>       Wilson disease, idiopathic
Stage IV coma —> Most common cause of death is brain stem herniation
Age < I year
Sepsis
Severe hemorrhage
Renal failure
, Need for dialysis before transplantation

For option b & c -
""Pretransplant serum bilirubin concentration and the INR (prothrombin time) of coagulation are not predictive of post transplant survival"".",4,Increasing transaminases,Increasing bilirubin,Increasing prothrombin time,Gram (–)ve sepsis,Pediatrics,,641f160f-eef0-4b8c-9cb8-3241d2d63173,single,Gram (–)ve sepsis,Stage of hepatic encephalopathy,Encephalopathy.
"A patient went into shock immediately after normal delivery, likely cause:","Friends this is one of those questions where we can derive the answer by excluding other options as very little information has been provided to us.
Sudden post partum collapse – may be seen in all the four cases viz – amniotic fluid embolism, PPH, uterine inversion and eclampsia.
But in case of PPH antecedent H/O excessive blood loss, in eclampsia – H/O antecedent convulsions and in amniotic fluid embolism – H/O abrupt onset of respiratory distress before collapse should be present, which is not given in the question so these options are being excluded.
The clinical picture of acute inversion occurring in the third stage of labour is characterised by shock and haemorrhage, the shock being out of proportion to the bleeding.
Since this a problem which occurs due to mismanaged third stage of labour, patient doesnot have any complain in the antenatal period or during labour.
Uterine inversion – “It should be suspected whenever a woman has unexplained postpartum collapse.”
Textbook of Obs, Sheila Balakrishnan, p 489",3,Amniotic fluid embolism,PPH,Uterine inversion,Eclampsia,Gynaecology & Obstetrics,,3a13e9bb-48ab-46c1-9d50-e1612840d922,single,Uterine inversion,Uterine inversion,Postpartum hemorrhage.
"A patient presented with flat topped violaceous papules, thinning of nails and onycholysis. What is the microscopic finding observed in this patient?",Ans. c. Basal degeneration,3,Prominent necrotic cell,Suprabasal split,Basal cell degeneration,Acantholysis,ENT,,9bad2095-2dd9-4485-946a-4ef51d16e8a4,single,Basal cell degeneration,Basal degeneration,Lichen planus.
Which of the following is not. true regarding myelopathy?,"Ans. b. Brisk jaw jerk(Ref: De Jongs Neurological examination/ p194, 201, 474.'Jaw jerk is exaggerated in supranuclear lesions that are above the mid pons.",2,Sensory loss of facial area,Brisk jaw jerk,Brisk pectoral jerk,Urgency and incontinence of micturition,Medicine,,86da0aa9-4ee5-4d2d-909b-e40e20b97d1c,multi,Brisk jaw jerk,Brisk jaw jerk,It affects the brain.
Which of the following committees has recommended a 3-year bachelor degree in medical education for rural health service?,Answer- A. High level expe group of universal health program for indiaConcept of 3 years bachelor para-medical course for rural health service was proposed by Ministry of health and family welfare and received backing of Planning Commission of India's High level expe group of universal health program.,1,High level expe group of universal health program for india,Central bureau of health investigation,Srivastava committee,Sundar committee,Social & Preventive Medicine,,ddb3f2a6-295a-4d4b-8478-5c15049b62a8,single,High level expe group of universal health program for india,High level expe group of universal health program for india,Mukherjee Committee
Sequential arrangement of fetal scans -,"Ans: D. AllThe NT scan must be done between 11 and 14 weeks pregnant, because this is when the base of baby's neck is still transparent. (The last day for scan is 13 weeks and 6 days pregnant.)Triple marker test is performed in pregnant women at the end of first trimester and the beginning of the second trimester.The anomaly scan, also sometimes called the anatomy scan, 20 week ultrasound, or level 2 ultrasound, is a pregnancy ultrasound performed between 18-22 weeksA growth scan is an ultrasound scan that determines whether your baby's growth is normal. Doctors typically recommend it for women during the third trimester of pregnancy; one of the reasons it is also a fetal growth scan between 28 weeks and 32 weeks of pregnancy.",4,Growth scan,Triple marker,Anomalous Scan and NT scan,All,Pediatrics,,7697c864-514c-4a73-8ce4-ea6cf0d0b651,multi,All,All,"Dating, Nuchal translucency, Anomaly, Growth scans."
Which one of the following is a muscle splitting incision?,"Ans: D. Lanz incisionLanz incision:An oblique (transverse skin crease), muscle splitting incision used for an appendectomy.A modification of McBurney's (Grid Iron) incision.Advantages:Considered cosmetically better.Exposure is better.The extension is easier.Measurements:Incision, appropriate in length to size & obesity of patient - Approximately 2 cm below umbilicus centered on the midclavicular-mid inguinal line.It can be extended medially - With retraction or suitable division of rectus abdominis muscle.",4,Kocher's incision,Rutherford-Morrison incision,Pfannenstiel incision,Lanz incision,Surgery,,9a3940ff-8c7a-492c-86d4-259c47cef675,single,Lanz incision,Lanz incision,Gridiron incision.
Multiple canals in mandibular premolars are seen in?,,1,Africas,Caucians,Not Recalled,Not Recalled,Dental,,98ae0eca-84e2-4b3c-95e3-2920fafef1e8,multi,Africas,Nan,Mandibular second premolars.
Which of the following blade angle is appropriate for scaling and root planing,"Blade angulation.
(A) 0 degrees: correct angulation for blade insertion.
(B) 45 to 90 degrees: correct angulation for scaling and root planing.
(C) less than 45 degrees: incorrect angulation for scaling and root planing.
(d) More than 90 degrees: incorrect angulation for scaling and root planing, but correct angulation for gingival curettage.",2,A,B,C,D,Dental,,5ce754b8-b358-4270-9bd1-8828700a19b1,single,B,Both A and B,70 degrees
Which pa of brachial plexus do not give branches,Answer: B. DivisionDivision does not give branches,2,Root,Division,Cord,Trunk,Anatomy,,849b1909-c988-4d0b-8eaf-a716707cbe97,single,Division,Division,Roots
